_id,createdAt,failedAt,failedAtDate,unitNumber,hostName,failureReason,currentTemp,setpointTemp,minSupplyTemp,runStartTime,runEndTime,runDurationMin
685e757e08ecde81bd5ca409,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,nat-willowgrove,stage_2_fail,74.1,68,78,2025-06-26T12:00:09.000Z,2025-06-26T15:59:52.000Z,239.7
685e757e08ecde81bd5ca231,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,14,10fit-rodneyparham,stage_1_fail,72.3,71,68,2025-06-26T12:01:26.000Z,2025-06-26T15:58:29.000Z,237.1
685e757e08ecde81bd5ca243,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,11,corp-walnutcreek,stage_2_fail,71,68,67,2025-06-26T12:01:29.000Z,2025-06-26T15:56:45.000Z,235.3
685e757e08ecde81bd5ca257,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,gengras-volkswagen,stage_1_fail,71.4,72,68,2025-06-26T13:32:32.000Z,2025-06-26T14:20:44.000Z,48.2
685e757e08ecde81bd5ca25a,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,corp-newcastle,stage_2_fail,73.8,70,73,2025-06-26T12:00:18.000Z,2025-06-26T15:43:58.000Z,223.7
685e757e08ecde81bd5ca273,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,grand-lauderdale,stage_1_fail,70.7,70,66,2025-06-26T15:47:09.000Z,2025-06-26T15:56:34.000Z,9.4
685e757e08ecde81bd5ca296,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,alder-morrow,stage_1_fail,70.5,70,64,2025-06-26T12:00:14.000Z,2025-06-26T15:54:40.000Z,234.4
685e757e08ecde81bd5ca2a0,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,alder-unioncity,stage_1_fail,71.2,71,66,2025-06-26T12:00:09.000Z,2025-06-26T15:57:24.000Z,237.2
685e757e08ecde81bd5ca2ab,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,easy-toccoa,stage_2_fail,70.9,70,70,2025-06-26T12:06:01.000Z,2025-06-26T15:53:21.000Z,227.3
685e757e08ecde81bd5ca2ae,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,blackduck-mundelein,stage_2_fail,74.1,72,51,2025-06-26T12:00:36.000Z,2025-06-26T15:59:23.000Z,238.8
685e757e08ecde81bd5ca2b6,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,gwth-aberdeen,stage_2_fail,74.6,71,76,2025-06-26T12:00:10.000Z,2025-06-26T15:54:38.000Z,234.5
685e757e08ecde81bd5ca2b7,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,gwth-bowie,stage_2_fail,74.8,72,72,2025-06-26T12:00:01.000Z,2025-06-26T15:59:39.000Z,239.6
685e757e08ecde81bd5ca2bf,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,gwth-ellicott,stage_1_fail,70.3,70,58,2025-06-26T12:00:36.000Z,2025-06-26T15:55:45.000Z,235.2
685e757e08ecde81bd5ca2d5,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,8,gwth-seatpleasant,stage_2_fail,73.7,73,74,2025-06-26T13:12:32.000Z,2025-06-26T15:59:02.000Z,166.5
685e757e08ecde81bd5ca2fb,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,epic-belleville,stage_1_fail,73,72,49,2025-06-26T12:00:06.000Z,2025-06-26T15:57:45.000Z,237.7
685e757e08ecde81bd5ca307,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,epic-detroit,stage_2_fail,72.3,72,57,2025-06-26T15:12:16.000Z,2025-06-26T15:37:42.000Z,25.4
685e757e08ecde81bd5ca31c,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,epic-lakeorion,stage_2_fail,73.7,72,72,2025-06-26T12:00:20.000Z,2025-06-26T15:59:43.000Z,239.4
685e757e08ecde81bd5ca330,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,epic-redford,stage_2_fail,70.3,69,59,2025-06-26T12:53:36.000Z,2025-06-26T15:59:34.000Z,186
685e757e08ecde81bd5ca33c,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,epic-shelbytwp,stage_1_fail,72.8,72,67,2025-06-26T13:14:09.000Z,2025-06-26T15:55:31.000Z,161.4
685e757e08ecde81bd5ca33d,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,epic-shelbytwp,stage_1_fail,72.5,72,58,2025-06-26T12:00:16.000Z,2025-06-26T15:58:49.000Z,238.6
685e757e08ecde81bd5ca342,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,epic-southfield,stage_2_fail,75.5,72,74,2025-06-26T12:00:06.000Z,2025-06-26T15:59:06.000Z,239
685e757e08ecde81bd5ca343,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,8,epic-sterlingheights,stage_2_fail,73.9,72,78,2025-06-26T12:00:14.000Z,2025-06-26T15:57:56.000Z,237.7
685e757e08ecde81bd5ca396,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,corp-lakeronkonkoma,stage_2_fail,70.7,68,71,2025-06-26T12:05:36.000Z,2025-06-26T15:59:24.000Z,233.8
685e757e08ecde81bd5ca3b4,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,nat-newton,stage_2_fail,66.5,70,72,2025-06-26T15:39:50.000Z,2025-06-26T15:40:29.000Z,0.7
685e757e08ecde81bd5ca3c1,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,easy-stcatharines,stage_1_fail,71.6,70,0,2025-06-26T12:00:10.000Z,2025-06-26T15:53:26.000Z,233.3
685e757e08ecde81bd5ca3e1,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,9,nat-cheltenham,stage_1_fail,68.3,69,76,2025-06-26T15:14:56.000Z,2025-06-26T15:58:44.000Z,43.8
685e757e08ecde81bd5ca3e4,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,nat-cottman,stage_2_fail,71.2,70,76,2025-06-26T12:00:22.000Z,2025-06-26T15:59:11.000Z,238.8
685e757e08ecde81bd5ca408,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,nat-willowgrove,stage_2_fail,75,68,76,2025-06-26T12:00:02.000Z,2025-06-26T15:58:54.000Z,238.9
685e757e08ecde81bd5ca411,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,core-pawtucket-nms,stage_2_fail,71.9,70,74,2025-06-26T14:50:21.000Z,2025-06-26T15:58:22.000Z,68
685e757e08ecde81bd5ca41e,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,lev-irmo,stage_1_fail,70.5,70,73,2025-06-26T14:55:59.000Z,2025-06-26T15:06:36.000Z,10.6
685e757e08ecde81bd5ca23c,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,9,corp-sanpablo,stage_2_fail,71.4,70,70,2025-06-26T12:01:06.000Z,2025-06-26T15:54:33.000Z,233.4
685e757e08ecde81bd5ca245,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,corp-westoakland,stage_2_fail,68.6,70,56,2025-06-26T14:06:10.000Z,2025-06-26T14:07:16.000Z,1.1
685e757e08ecde81bd5ca24d,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,base-coloradosprings,stage_2_fail,69.4,70,57,2025-06-26T15:39:47.000Z,2025-06-26T15:49:02.000Z,9.2
685e757e08ecde81bd5ca266,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,easy-peachland,stage_1_fail,70.5,70,50,2025-06-26T12:00:21.000Z,2025-06-26T15:59:53.000Z,239.5
685e757e08ecde81bd5ca26f,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,grand-hialeah3,stage_1_fail,71.2,71,54,2025-06-26T12:00:37.000Z,2025-06-26T15:57:42.000Z,237.1
685e757e08ecde81bd5ca277,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,grand-littlehavana,stage_2_fail,73.7,72,78,2025-06-26T12:00:24.000Z,2025-06-26T15:46:24.000Z,226
685e757e08ecde81bd5ca286,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,alder-atlantamlk,stage_1_fail,71.7,71,74,2025-06-26T14:38:46.000Z,2025-06-26T15:43:40.000Z,64.9
685e757e08ecde81bd5ca287,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,alder-atlantamlk,stage_2_fail,76.1,71,80,2025-06-26T12:00:25.000Z,2025-06-26T15:59:54.000Z,239.5
